Freq.	V(n002)
Step Information: X=20  (Step: 1/3)
1.23798763632577e+04	(-4.26373019055497e+01dB,-8.60795214511368e+01°)
1.24228561805697e+04	(-4.29464321924546e+01dB,-8.62401415427018e+01°)
1.24659852129984e+04	(-4.32451015770436e+01dB,-8.63897950776620e+01°)
1.25092639785811e+04	(-4.35339975741167e+01dB,-8.65295530487400e+01°)
1.25526929971537e+04	(-4.38137426411450e+01dB,-8.66603517141466e+01°)
1.25962727903568e+04	(-4.40849020931845e+01dB,-8.67830131053798e+01°)
1.26400038816420e+04	(-4.43479908557835e+01dB,-8.68982619055211e+01°)
1.26838867962782e+04	(-4.46034792537147e+01dB,-8.70067394248543e+01°)
1.27279220613579e+04	(-4.48517979953577e+01dB,-8.71090152392524e+01°)
1.27721102058035e+04	(-4.50933424826270e+01dB,-8.72055969343392e+01°)
1.28164517603737e+04	(-4.53284765526187e+01dB,-8.72969383052230e+01°)
1.28609472576699e+04	(-4.55575357382302e+01dB,-8.73834462897127e+01°)
1.29055972321425e+04	(-4.57808301198286e+01dB,-8.74654868572225e+01°)
1.29504022200974e+04	(-4.59986468277965e+01dB,-8.75433900322716e+01°)
1.29953627597025e+04	(-4.62112522458518e+01dB,-8.76174541971928e+01°)
1.30000000000000e+04	(-4.62328527213922e+01dB,-8.76248716608191e+01°)
Step Information: X=80  (Step: 2/3)
9.00000000000000e+03	(-5.01193509794385e+01dB,7.86248298763763e+01°)
9.03124573658553e+03	(-4.99838393023699e+01dB,7.85227665562183e+01°)
9.06259995051047e+03	(-4.98463156336722e+01dB,7.84170363637022e+01°)
9.09406301838088e+03	(-4.97067175299776e+01dB,7.83074671241484e+01°)
9.12563531811026e+03	(-4.95649797052981e+01dB,7.81938756135760e+01°)
9.15731722892418e+03	(-4.94210338604007e+01dB,7.80760666650402e+01°)
9.18910913136474e+03	(-4.92748084996019e+01dB,7.79538321874596e+01°)
9.22101140729521e+03	(-4.91262287339015e+01dB,7.78269500868401e+01°)
9.25302443990460e+03	(-4.89752160692709e+01dB,7.76951830784755e+01°)
9.28514861371223e+03	(-4.88216881787988e+01dB,7.75582773771639e+01°)
9.31738431457240e+03	(-4.86655586572725e+01dB,7.74159612507022e+01°)
9.34973192967898e+03	(-4.85067367566386e+01dB,7.72679434198693e+01°)
